Insectendoos_label|Insectendoos_toelichting|AangegevenTaxon|aantal
07-01||Euconnus claviger|1
07-01||Euconnus maeklinii|2
07-02||NN NN|4
07-02||Micropeplus marietti|3
07-02||Micropeplus porcatus|3
07-02||Scaphium immaculatum|4
07-02||Scaphidium quadrimaculatum|13
07-02||Scaphisoma agaricinum|14
07-02||Siagonium quadricorne|8
07-02||Phloeocharis subtillissima|1
07-02||Bibloporus bicolor|1
07-02||Bibloporus minutus|4
07-02||Biploplectus tenebrosus|1
07-02||Biploplectus ambiguus|2
07-02||Biploplectus minutissimus|2
07-02||Euplectus nanus|2
07-02||Euplectus kirby|2
07-02||Euplectus piceus|3
07-02||Euplectus bescidicus|1
07-02||Euplectus sanguineus|2
07-02||Euplectus signatus|1
07-02||Euplectus punctatus|2
07-02||Euplectus karsteni|3
07-02||Euplectus fauveli|2
07-02||Euplectus brunneus|2
07-02||Euplectus duponti|1
07-02||Plectophloeus fischeri|4
07-02||Plectophloeus erichsoni|1
07-02||Plectophloeus nitidus|5
07-02||Scotoplectus capellae|2
07-02||Trimium brevicorne|2
07-02||Trochonyx sulcicollis|1
07-02||Amauronyx maerkelii|1
07-02||Batrisus formicarius|1
07-02||Batrisodes delaporti|1
07-02||Batrisodes buqueti|2
07-02||Batrisodes unisexualis|2
07-02||NN NN|24
07-02||NN NN|25
07-02||Brachygluta haemoptera|7
07-03||Fissocatops westi|4
07-03||NN NN|12
07-03||NN NN|9
07-03||Bathysciella jeanneli|1
07-03||Diaprysius serrulazi|12
07-03||Royerella tarrasani|12
07-03||Cytodromus depsoides|5
07-03||Isereus xambeui|1
07-03||Aphaobius milleri|5
07-03||Aphaobius heydeni|2
07-03||Oryotus sebellenoi|4
07-03||Oryotus ravasinii|2
07-03||Oryotus schmidti|2
07-03||Oryotus micklitzi|2
07-03||NN NN|12
07-03||Orostygia meggiolaroi|2
07-03||Orostygia doderoi|2
07-03||Bathysciotes khevenhülleri croaticus|5
07-03||Bathyscimorphus byssina|7
07-03||Bathyscimorphus sagarum|1
07-03||Drimeotus horvathy|1
07-03||Pholeuon knirschi|2
07-03||Ceuthmonocharis robici|5
07-03||Haplotropidius taxi subinflatus|2
07-03||Parapropus sericeus intermedius|10
07-03||Astagobius angustatus glacialis|1
07-03||NN NN|5
07-03||Leptodirus hochenwarti croaticus|1
07-03||Halbherria zorzii|6
07-03||Boldoria trumplina|1
07-03||Pseudoboldoria gratiae|1
07-03||Pseudoboldoria schatzmayri|1
07-03||Leonhardella angulicollis|2
07-03||Bathysciopsis sternalis|2
07-03||Colon latum|6
07-03||Colon rufescens|1
07-03||Colon delarouzei|1
07-03||Colon clavigerum|2
07-03||Colon affine|2
07-03||Colon murinum|2
07-03||Colon fuscicorne|1
07-03||Colon armipes|2
07-03||Colon angulare|1
07-03||NN NN|5
07-03||Colon zebei|2
07-03||Colon brunneum|3
07-03||Colon appendiculatum|5
07-03||Colon calcaratum|2
07-03||NN NN|2
07-03||Colon viennense|1
07-03||Colon bidentatum|4
07-04||Euconnus wetterhalli|16
07-04||Euconnus similis|1
07-04||Euconnus carinthiacus|1
07-04||Euconnus motschulskyi|2
07-04||Euconnus denticornis|3
07-04||Euconnus rutilipennis|3
07-04||Euconnus hirticollis|9
07-04||Euconnus fimetarius|2
07-04||Euconnus pandellei|1
07-04||Scydmaenus tarsus|16
07-04||Scydmaenus rufus|1
07-04||Scydmaenus perissii|3
07-04||Scydmaenus hellwigi|3
07-04||Mastigus ruficornis|13
07-04||Calyptomerus alpestris|3
07-04||Calyptomerus dubius|1
07-04||Clamus minutus|10
07-04||Clamus punctulum|12
07-04||Clamus armadillo|10
07-04||Clamus pubescens|1
07-04||Clamus simsoni|5
07-04||Clamus nigriclavis|2
07-08||NN NN|173
07-05-Check op foto07-05IMG...||NN NN|65
07-07-Check op foto07-07IMG...||NN NN|268
07-08extra globaal||NN NN|400
07-09||NN NN|66
07-10||Hygrobia hermanni|10
07-10||Brychius elevatus|12
07-10||Brychius glabratus|2
07-10||Peltodytes caesus|2
07-10||Peltodytes rotundatus|2
07-10||Haliplus varius|1
07-10||Haliplus obliquus|3
07-10||Haliplus confinis|4
07-10||Haliplus lineatocollis|17
07-10||Haliplus ruficollis|21
07-10||Haliplus heydeni|9
07-10||Haliplus fluviatilis|4
07-10||Haliplus wehnkei|4
07-10||Haliplus lineolatus|5
07-10||Haliplus immaculatus|5
07-10||Haliplus apicalis|4
07-10||Haliplus fulvicollis|1
07-10||Haliplus furcatus|3
07-10||Haliplus laminatus|1
07-10||Haliplus mucronatus|4
07-10||Hyphydrus ovatus|9
07-10||Hyphydrus aubei|2
07-10||Hydroglyphus pusillus|44
07-10||Hydroglyphus signatellus|1
07-10||Bidessus munitissimus|5
07-10||Bidessus delicatulus|7
07-10||Bidessus unistriatus|2
07-10||Bidessus grossepunctatus|7
07-10||Bidessus nasutus|3
07-10||Bidessus goudoti|2
07-10||Yola bicarinata|3
07-10||Hydrovatus cuspidatus|5
07-10||Coelambus impressopunctatus|10
07-10||Coelambus parallelogrammus|6
07-10||Coelambus novemlineatus|3
07-10||Coelambus nigrolineatus|2
07-10||Coelambus confluens|23
07-10||Hydrogotus versicolor|19
07-10||Hydrogotus inaequalis|31
07-10||Hydrogotus quinquelineatis|2
07-10||Hydrogotus decoratus|6
07-10||Hydroporus scalesianus|1
07-10||Hydroporus angustatus|11
07-10||Hydroporus umbrosus|4
07-10||Hydroporus tristis|6
07-10||Hydroporus glabriusculus|1
07-10||Hydroporus notatus|1
07-10||Hydroporus gyllenhalii|5
07-10||Hydroporus palustris|35
07-10||Hydroporus incognitus|3
07-10||Hydroporus striolatus|7
07-10||Hydroporus erythrocephalus|20
07-11||Mycetaea subterranea|7
07-11||Symbiotes gibberosus|1
07-11||Symbiotes armatus|1
07-11||Lycoperdina bovistea|24
07-11||Lycoperdina succincta|1
07-11||Mycetina cruciata|7
07-11||Endomychus coccineus|19
07-11||Ancylopus melanocephalus|1
07-11||Henosepilachna argus|27
07-11||Henosepilachna elaterii|2
07-11||Subcoccinella 24-punctata|28
07-11||Cynegetis impunctata|6
07-11||Coccidula scutellata|20
07-11||Coccidula rufa|26
07-11||Rhyzobius litura|11
07-11||Rhyzobius chrysomeloides|38
07-11||Scymnus apetzi|32
07-11||Scymnus pallipediformis|6
07-11||Scymnus doriai|2
07-11||Scymnus frontalis|15
07-11||Scymnus mimulus|7
07-11||Scymnus interruptus|6
07-11||Scymnus abietis|3
07-11||Scymnus nigrinus|3
07-11||Scymnus rubromaculatus|10
07-11||Scymnus heamorrhoidalis|3
07-11||Scymnus ferrugatus|2
07-11||Scymnus auritus|38
07-11||Scymnus impexus|1
07-11||Scymnus femoralis|2
07-11||Scymnus limbatus|2
07-11||Scymnus suturalis|40
07-11||Scymnus ater|1
07-11||Scymnus subvillosus|2
07-11||Scymnus rufipes|2
07-11||Scymnus marginalis|1
07-11||Scymnus canariensis|1
07-11||Scymnus incertus|1
07-11||Nephus redtenbacheri|1
07-11||Nephus limonii|1
07-11||Nephus quadrimaculatus|3
07-11||Nephus semifufus|1
07-11||Stethorus punctillum|5
07-11||Stethorus gilvifrons|2
07-11||Clitostethus arcuatus|2
07-11||Platynaspis luteorubra|4
07-11||Chilocorus bipustulatus|5
07-11||Chilocorus renipustulatus|4
07-12||Helophorus confrater|2
07-12||Helophorus montenegrinus|5
07-12||Helophorus brevipalpis|68
07-12||Helophorus nanus|4
07-12||Helophorus redtenbacheri|2
07-12||Helophorus villosus|5
07-12||Helophorus lactocollis|3
07-12||Helophorus strigifrons|4
07-12||Helophorus flavipes|21
07-12||Helophorus obscurus|9
07-12||Helophorus asperatus|4
07-12||Helophorus dorsalis|6
07-12||Helophorus croaticus|1
07-12||Helophorus fulgidicollis|2
07-12||Helophorus granularis|4
07-12||Helophorus minutus|1
07-12||Helophorus discrepans|1
07-12||Helophorus griseus|33
07-12||Helophorus longitarsus|2
07-12||Helophorus seidlitzii|11
07-12||Helophorus asturiensis|1
07-12||Helophorus pumilio|9
07-12||Coelostoma orbiculare|19
07-12||Dactylosternum abdominale|1
07-12||Spaeridium bipustulatum|37
07-12||Spaeridium substriatum|7
07-12||Spaeridium scarabaeoides|10
07-12||Spaeridium lunatum|20
07-12||Cercyon littoralis|8
07-12||Cercyon depressus|2
07-12||Cercyon arenarius|1
07-12||Cercyon ustulatus|1
07-12||Cercyon obsoletus|4
07-12||Cercyon impressus|53
07-12||Cercyon melanocephalus|34
07-12||Cercyon marinus|12
07-12||Cercyon bifenestriatus|9
07-12||Cercyon lateralis|25
07-12||Cercyon laminatus|3
07-12||Cercyon quisquilius|35
07-12||Cercyon terminatus|4
07-12||Cercyon pygmaeus|18
07-12||Cercyon granarius|2
07-12||Cercyon atricapillus|3
07-12||Cercyon unipunctatus|10
07-12||Cercyon tristis|10
07-12||Cercyon convexiusculus|8
07-12||Cercyon sternalis|22
07-12||Cercyon analis|40
07-13||Pseudepierus italicus|1
07-13||Platysoma compressum|26
07-13||Platysoma elogatum|10
07-13||Platysoma lineare|1
07-13||Platysoma angustatum|3
07-13||Platysoma cornix|2
07-13||Eblisia minor|3
07-13||Margarinotus obscurus|4
07-13||Margarinotus bipustulatus|3
07-13||Margarinotus pupurascens|23
07-13||Margarinotus neglectus|3
07-13||Margarinotus ventralis|21
07-13||Margarinotus carbonarius|14
07-13||Margarinotus ignobilis|3
07-13||Margarinotus striola|16
07-13||Margarinotus terricola|1
07-13||Margarinotus merdarius|6
07-13||Margarinotus brunneus|22
07-13||Margarinotus marginatu3|3
07-13||Pactolinus major|2
07-13||Pachylister inaequalis|12
07-13||Hister quadrimaculatis|30
07-13||Hister unicolor|7
07-13||Hister quadrinotatus|3
07-13||Hister illigeri|11
07-13||Hister unicatus|1
07-13||Hister helluo|4
07-13||Hister subalatutaceus|2
07-13||Hister bissexstriatus|12
07-13||Hister grandicollis|1
07-13||Atholus bimaculatus|5
07-13||Atholus dudecimstriatus|15
07-13||Atholus corvinus|1
07-13||Satrapes sartorii|1
07-13||Hataerius ferrugineus|1
07-13||Eudiplister lugubris|1
07-13||Eudiplister moerens|1
07-15||Trarthron maerkelii|2
07-15||Hydnobius latifrons|1
07-15||Hydnobius spinipes|3
07-15||Hydnobius punctatus|1
07-15||Hydnobius multistriatus|1
07-15||Trichohydnobius suturalis|2
07-15||Leiodes cillaris|1
07-15||Leiodes furva|2
07-15||Leiodes pallens|3
07-15||Leiodes rubiginosa|1
07-15||Leiodes triepkii|4
07-15||Leiodes rugosa|3
07-15||Leiodes hybrida|3
07-15||Leiodes brandisi|1
07-15||Leiodes fracta|1
07-15||Leiodes cinnamomea|6
07-15||Leiodes oblonga|1
07-15||Leiodes silesiaca|3
07-15||Leiodes lucens|2
07-15||Leiodes longipes|1
07-15||Leiodes macropus|1
07-15||Leiodes polita|8
07-15||Leiodes lunicollis|1
07-15||Leiodes picea|2
07-15||Leiodes dubia|18
07-15||Leiodes obesa|8
07-15||Leiodes brunnea|2
07-15||Leiodes ruficollis|6
07-15||Leiodes litura|1
07-15||Leiodes ferruginea|7
07-15||Leiodes nigrita|1
07-15||Leiodes badia|3
07-15||Leiodes gyllenhalii|4
07-15||Leiodes punctulata|2
07-15||Colensis immunda|5
07-15||Agaricophagus cephalotes|1
07-15||Liocyrtusa minuta|2
07-15||Liocyrtusa vittata|1
07-15||Anisotoma humeralis|20
07-15||Anisotoma axillaris|2
07-15||Anisotoma castanea|2
07-15||Anisotoma glabratus|1
07-15||Anisotoma orbicularis|3
07-15||Liodoprida serricornis|2
07-15||Amphicyllus globus|8
07-15||Amphicyllus globiformis|6
07-15||Agathidium marginatum|5
07-15||Agathidium varians|9
07-15||Agathidium convexum|1
07-15||Agathidium bescidium|1
07-15||Agathidium mandibulare|3
07-16||Aglenus brunneus|4
07-16||Pycnomerus terebrans|1
07-16||Pycnomerus inexpectatus|1
07-16||Nosodomodes tuberculatus|2
07-16||Nosodomodes Rhopalocerus|1
07-16||Orthocerus clavicornis|1
07-16||Orthocerus crassicornis|1
07-16||Endophloeus markovichianus|1
07-16||Diodesma subterranea|1
07-16||Coxellus pictus|2
07-16||Langelandia anophthalma|1
07-16||Synchita humeralis|3
07-16||Synchita separanda|1
07-16||Cicones variegatus|2
07-16||Colobicus hirtus|1
07-16||Bitoma crenata|62
07-16||Bitoma ferruginea|3
07-16||Colydium elongatum|2
07-16||Colydium filiforme|2
07-16||Aulonium trisulcum|5
07-16||Aulonium ruficorne|3
07-16||Bothrideres bipunctatus|1
07-16||Teredus cylindricus|4
07-16||Oxylaemus cylindricus|2
07-16||Annomatus reitteri|1
07-16||Annomatus duodecimstriatus|1
07-16||Cerylon fagi|5
07-16||Cerylon histeroides|24
07-16||Cerylon ferrugineum|28
07-16||Cerylon impressum|1
07-16||Cerylon deplanatum|4
07-16||Sphaerosoma globosum|1
07-16||Sphaerosoma punctatum|1
07-16||Sphaerosoma piliferum|1
07-17||NN NN|41
07-17||Sphindus dubius|2
07-17||Arpidiphorus orbiculatus|3
07-17||Octotemnus glabriculus|17
07-17||Ropalodontus perforatus|3
07-17||Sulcacis affinis|9
07-17||Sulcacis bidentulus|5
07-17||Sulcacis fronticornis|1
07-17||Cis lineatocribatus|1
07-17||Cis nitidus|32
07-17||Cis jacquemarti|6
07-17||Cis glabratus|6
07-17||Cis hispidus|11
07-17||Cis setiger|4
07-17||Cis micans|2
07-17||Cis boleti|20
07-17||Cis rugulosus|19
07-17||Cis quadridens|2
07-17||Cis punctulatus|1
07-17||Cis castaneus|1
07-17||Cis dentatus|5
07-17||Cis bidentatus|2
07-17||Orthocis Aini|3
07-17||Orthocis pygmaeus|1
07-17||Orthocis vestitus|2
07-17||Orthocis festivus|2
07-17||Ennearthron cornutum|26
07-17||Trogoxylon impressum|2
07-17||Lyctus brunneus|15
07-17||Lyctus pubescans|11
07-17||Lyctus linearis|12
07-17||Psoa viennensis|4
07-17||Psoa dubia|1
07-17||Endecatomus reticulatus|1
07-17||Lyctus brunneus|15
07-17||Stephanopachys substriatus|1
07-17||Stephanopachys linearis|1
07-17||Rhyzopertha dominica|17
07-17||Dinodorus minutus|1
07-17||Dinodorus bifoveolatus|1
07-17||Bostrichus capucinus|33
07-17||Lichenophanes varius|2
07-17||Sinoxylon sexdentatum|5
07-17||Sinoxylon perforans|1
07-17||Xylopertha retusa|5
07-17||Xylopertha praetuse|3
07-17||Scobiacia chevrieri|2
07-17||Schistoceros bimaculatus|3
07-17||Xylogenes auricomus|1
07-18||Exochomus quadripustulatus|24
07-18||Exochomus nigromaculatus|26
07-18||Hyperaspis campestris|1
07-18||Hyperaspis duvergeri|1
07-18||Hyperaspis pseudopostulata|3
07-18||Hyperaspis reppensis|3
07-18||Hyperaspis quadrimaculata|1
07-18||Aphidecta obliterata|29
07-18||Hippodamia tredecimpunctata|17
07-18||Hippodamia variegata|29
07-18||Hippodamia notata|8
07-18||Hippodamia undecimnotata|1
07-18||Hippodamia alpina|5
07-18||Hippodamia rufocincta|1
07-18||Hippodamia convergens|4
07-18||Hippodamia parenthesis|5
07-18||Anisosticta novemdecimpunctata|39
07-18||Anisosticta sedicimpunctata|52
07-18||Adalia conglomerata|1
07-18||Adalia decempunctata|101
07-18||Adalia bipunctata|56
07-18||Coccinella hieroglypha|28
07-18||Coccinella trifasciata|1
07-18||NN NN|37
07-18||Coccinella magnifica|3
07-18||Coccinella quinquepunctata|5
07-18||Coccinella undecimpunctata|66
07-18||Coccinella miranda|1
07-18||Bulaea lichatschovi|2
07-18||Coccinula 14-postulata|39
07-18||Oenopia lyncea|5
07-18||Oenopia impustulata|2
07-18||Oenopia conglobata|18
07-18||Oenopia doublieri|6
07-18||Harmonia quadripunctata|35
07-18||Harmonia axyridis|2
07-18||Myrrha octodecimgutta|21
07-18||Calvia decemguttata|7
07-18||Calvia 14-gutta|37
07-18||Propylea 14-punctata|61
07-18||Myzia oblongogutta|22
07-18||Myzia gebleri|1
07-18||Anatis ocellata|22
07-18||Halyzia sedecimguttata|7
07-18||Vibiola 12-guttata|6
07-19||NN NN|10
07-19||Pryopterus nigroruber|2
07-19||Lopherus rubens|1
07-19||NN NN|2
07-19||Lygistopterus sanguineus|47
07-19||NN NN|15
07-19||Lampyris noctiluca|5
07-19||Lamprohyza splendidula|21
07-19||Lamprohyza delarouzei|1
07-20||NN NN|6
07-20||NN NN|3
07-21||NN NN|1
07-21||NN NN|1000
07-22||Ptomaphagus variicornis|5
07-22||Ptomaphagus subvillosus|2
07-22||Ptomaphagus sericatus|19
07-22||Ptomaphagus divaricatus|1
07-22||Nemadus colonoides|2
07-22||Anemadus strigosus|2
07-22||Nargus velox|20
07-22||Nargus badius|10
07-22||Nemadus wilkinii|16
07-22||Nemadus brunneus|1
07-22||Nemadus anistomoides|14
07-22||Choleva spadicea|2
07-22||Choleva paskoviensis|2
07-22||Choleva agilis|4
07-22||Choleva lederiana|3
07-22||Choleva septentrionis|1
07-22||Choleva septentrionis holsatica|2
07-22||Choleva oblonga|9
07-22||Choleva nivalis|3
07-22||Choleva oresitropha|1
07-22||Choleva cisteloides|7
07-22||Choleva bicolor|1
07-22||Choleva glauca|3
07-22||Choleva angustata|7
07-22||Choleva sturmi|2
07-22||Choleva fagniezi|6
07-22||Choleva jeanelli|2
07-22||Choleva elongata|11
07-22||Attaephilus arenarius|1
07-22||Catopomorphus orientalis|3
07-22||Dreposcia umbrina|1
07-22||Dreposcia depressus|3
07-22||Sciodrepoides watsoni|22
07-22||Sciodrepoides fumatus|14
07-22||Catops subfuscus|24
07-22||Catops longulus|8
07-22||Catops coracinus|12
07-22||Catops nitidicollis|1
07-22||Catops grandicollis|14
07-22||Catops kirbyi|13
07-22||Catops tristis|26
07-22||Catops chrysomeloides|22
07-22||Catops neglectus|3
07-22||Catops morio|8
07-22||Catops nigriclavis|10
07-22||Catops fuscus|2
07-22||Catops fuliginosus|13
07-22||Catops nigricans|15
07-22||Catops picipes|39
07-22||Apocatop nigritus|7
07-23||Hydraena minutissima|6
07-23||Hydraena testacea|1
07-23||Hydraena brachymera|1
07-23||Hydraena subintegra|1
07-23||Ochthebius granulatus|3
07-23||Ochthebius exsculptus|4
07-23||Ochthebius gibbosus|15
07-23||Ochthebius dilatatus|3
07-23||Ochthebius auriculatus|2
07-23||Ochthebius calveranus|18
07-23||Ochthebius minimus|28
07-23||Ochthebius flavipes|24
07-23||Ochthebius nanus|1
07-23||Ochthebius metallescens|4
07-23||Ochthebius foveolatus|2
07-23||Ochthebius forojuliensis|13
07-23||Ochthebius punctatus|1
07-23||Ochthebius exaratus|2
07-23||Ochthebius pusillus|9
07-23||Ochthebius marinus|49
07-23||Ochthebius viridis|3
07-23||Ochthebius meridonalis|11
07-23||Ochthebius lapidicola|2
07-23||Ochthebius subinteger|2
07-23||Ochthebius quadricollis|5
07-23||Ochthebius steinbühleri|28
07-23||Limnebius truncatellus|4
07-23||Limnebius papposus|3
07-23||Limnebius crinifer|5
07-23||Limnebius furcatus|3
07-23||Limnebius nitidus|3
07-23||Limnebius aluta|5
07-23||Limnebius atomus|1
07-23||Hydrochus elongatus|2
07-23||Hydrochus ignicollis|2
07-23||Hydrochus carinatus|16
07-23||Hydrochus brevis|4
07-23||Hydrochus nitidicollis|1
07-23||Hydrochus angustatus|1
07-23||Hydrochus flavipennis|11
07-23||Spercheus emarginatus|7
07-23||Helophorus rufipes|3
07-23||Helophorus porculus|2
07-23||Helophorus nubilus|7
07-23||Helophorus schmidtii|1
07-23||Helophorus tuberculatus|1
07-23||Helophorus alternans|9
07-23||Helophorus micans|2
07-23||Helophorus occidentalis|2
07-23||Helophorus grandis|7
07-23||Helophorus aquaticus|43
07-23||Helophorus aequalis|3
07-23||Helophorus avernicus|10
07-23||Helophorus nivalis|5
07-23||Helophorus glacialis|4
07-24||Caenocara bovistae|2
07-24||Caenocara affinis|2
07-24||Caenocara subglobosa|1
07-24||Anitys rubens|2
07-25||Myrmetes paykulli|3
07-25||Gnathoncus rotundatus|7
07-25||Gnathoncus nannetensis|4
07-25||Gnathoncus communis|3
07-25||Gnathoncus suturifer|1
07-25||Gnathoncus buyssoni|35
07-25||Gnathoncus nidicola|1
07-25||Saprinus semipunctatus|6
07-25||Saprinus maculatus|1
07-25||Saprinus detersus|1
07-25||Saprinus rufiger|1
07-25||Saprinus planiusculus|20
07-25||Saprinus semistriatus|22
07-25||Saprinus subnitescens|3
07-25||Saprinus tenuistrius|1
07-25||Saprinus lautus|2
07-25||Saprinus calatravensis|1
07-25||Saprinus virescens|1
07-25||Saprinus pollitus|2
07-25||Saprinus immundus|8
07-25||Saprinus aeneus|17
07-25||Saprinus metallescens|2
07-25||Saprinus gilivicornis|2
07-25||Saprinus georgicus|2
07-25||Saprinus grossipes|1
07-25||Saprinus chalcites|2
07-25||Saprinus furvus|1
07-25||Saprinus externus|1
07-25||Saprinus cruciatus|1
07-25||Saprinus politus|2
07-25||Saprinus prasinus|1
07-25||Saprinus apricarius|3
07-25||Chalcionellus amouenus|1
07-25||Chalcionellus spretulus|2
07-25||Chalcionellus decemstriatus|5
07-25||Chalcionellus tyrius|1
07-25||Hypocacculus praecox|2
07-25||Hypocacculus rubripes|2
07-25||Hypocaccus crassipes|11
07-25||Hypocaccus rugifrons|53
07-25||Hypocaccus metallicus|3
07-25||Hypocaccus rugiceps|2
07-25||Hypocaccus dimidiatus|11
07-25||Bacanius rhombophorus|1
07-25||Dendriophilus punctatus|4
07-25||Dendriophilus pygmaeus|3
07-25||Kissister minimus|3
07-25||Carcinops pumilio|20
07-25||Platylomalus complanatus|3
07-25||Paromalus flavicornis|8
07-25||Paromalus parallelepipedus|30
07-25||Hololepta planata|38
07-25||Onthophilus striatus|8
07-25||Onthophilus affinis|1
07-25||Onthophilus punctatus|4
07-25||Onthophilus globulus|3
08-01|Geen etiket|Nebrioporus martinii|5
08-01|Geen etiket|Nebrioporus carinatus|2
08-01|Geen etiket|Nebrioporus fenestratus|1
08-01|Geen etiket|Nebrioporus cerisyi|4
08-01|Geen etiket|Nebrioporus luctuosus|3
08-01|Geen etiket|Nebrioporus clarkii|1
08-01|Geen etiket|Oreodytes davisii|4
08-01|Geen etiket|Oreodytes septentrionalis|3
08-01|Geen etiket|Oreodytes sanmarkii|9
08-01|Geen etiket|Oreodytes alpinus|3
08-01|Geen etiket|Scarodytes halensis|11
08-01|Geen etiket|Laccophilus ponticus|8
08-01|Geen etiket|Laccophilus minutus|39
08-01|Geen etiket|Laccophilus hyalinus|14
08-01|Geen etiket|Laccophilus testaceus|1
08-01|Geen etiket|Copelatus haemorrhoidalis|8
08-01|Geen etiket|Platambus maculatus|15
08-01|Geen etiket|Agabus subtilis|1
08-01|Geen etiket|Agabus erichsoni|2
08-01|Geen etiket|Agabus chalconatus|6
08-01|Geen etiket|Agabus neglectus|2
08-01|Geen etiket|Agabus biguttatus|4
08-01|Geen etiket|Agabus nitidus|9
08-01|Geen etiket|Agabus guttatus|4
08-01|Geen etiket|Agabus melanarius|10
08-01|Geen etiket|Agabus solieri|1
08-01|Geen etiket|Agabus striolatus|3
08-01|Geen etiket|Agabus sturmii|18
08-01|Geen etiket|Agabus uliginosus|12
08-01|Geen etiket|Agabus paludosus|5
08-01|Geen etiket|Agabus nebulosus|10
08-01|Geen etiket|Agabus affinis|5
08-01|Geen etiket|Agabus unguicularis|12
08-01|Geen etiket|Agabus congener|2
08-01|Geen etiket|Agabus brunneus|16
08-01|Geen etiket|Agabus didymus|21
08-01|Geen etiket|Agabus undulatus|10
08-01|Geen etiket|Agabus labiatus|2
08-01|Geen etiket|Agabus arcticus|6
08-01|Geen etiket|Agabus serricornis|2
08-01|Geen etiket|Agabus conspersus|1
08-01|Geen etiket|Agabus lapponicus|1
08-01|Geen etiket|Agabus montanus|13
08-01|Geen etiket|Agabus binotatus|2
08-01|Geen etiket|Agabus fuscipennis|2
08-01|Geen etiket|Agabus skiathos|8
08-01|Geen etiket|Ilybius fenestratus|6
08-01|Geen etiket|Ilybius ater|7
08-01|Geen etiket|Ilybius meridionalis|2
08-01|Geen etiket|Agabus bipostulatus|41
08-02|Geen etiket|Micrapate xyloperthoides|1
08-02|Geen etiket|Hedobia pubescens|3
08-02|Geen etiket|Hedobia imperialis|4
08-02|Geen etiket|Hedobia regalis|3
08-02|Geen etiket|Grynobius planus|1
08-02|Geen etiket|Dryophilus anobioides|1
08-02|Geen etiket|Dryophilus pusillus|4
08-02|Geen etiket|Ochina latreillei|1
08-02|Geen etiket|Ochina ptinoides|3
08-02|Geen etiket|Xestobium plumbeum|15
08-02|Geen etiket|Xestobium rufovillosum|26
08-02|Geen etiket|Xestobium austriacum|2
08-02|Geen etiket|Ernobius nigrinus|1
08-02|Geen etiket|Ernobius longicornis|5
08-02|Geen etiket|Ernobius abietinus|2
08-02|Geen etiket|Ernobius abietis|6
08-02|Geen etiket|Ernobius angusticollis|2
08-02|Geen etiket|Ernobius pini|1
08-02|Geen etiket|Ernobius mollis|13
08-02|Geen etiket|Oligomerus brunneus|1
08-02|Geen etiket|Stegobium paniceum|36
08-02|Geen etiket|Gastrallus immarginatus|1
08-02|Geen etiket|Gastrallus laevigatus|1
08-02|Geen etiket|Anobium punctatum|28
08-02|Geen etiket|Anobium hederae|1
08-02|Geen etiket|Anobium nitidum|1
08-02|Geen etiket|Anobium costatum|2
08-02|Geen etiket|Anobium fulvicorne|3
08-02|Geen etiket|Anobium rufipes|2
08-02|Geen etiket|Anobium thomsoni|1
08-02|Geen etiket|Anobium emarginatum|3
08-02|Geen etiket|Anobium denticolle|1
08-02|Geen etiket|Anobium pertinax|4
08-02|Geen etiket|Priobium carpini|2
08-02|Geen etiket|Ptilinus pectinicornis|17
08-02|Geen etiket|Ptilinus fuscus|4
08-02|Geen etiket|Pseudoptilinus fusicollis|2
08-02|Geen etiket|Xyletinus laticollis|2
08-02|Geen etiket|Xyletinus subrotundatus|1
08-02|Geen etiket|Xyletinus ater|4
08-02|Geen etiket|Xyletinus pectinatus|1
08-02|Geen etiket|Lasioderma serricorne|5
08-02|Geen etiket|Lasioderma redtenbacheri|2
08-02|Geen etiket|Lasioderma kiesenwetteri|1
08-02|Geen etiket|Lasioderma obscurum|1
08-02|Geen etiket|Mesocoelopus niger|2
08-02|Geen etiket|Tricorynus meieri|1
08-02|Geen etiket|Dorcatoma flavicornis|3
08-02|Geen etiket|Dorcatoma setosella|2
08-02|Geen etiket|Dorcatoma chrysomelina|3
08-02|Geen etiket|Dorcatoma substriata|1
08-02|Geen etiket|Dorcatoma punctulata|1
08-02|Geen etiket|Dorcatoma dresdensis|2
08-02|Geen etiket|Dorcatoma robusta|5
08-02|Geen etiket|Dryophilus longicollis|1
08-03|Geen etiket|Hydrophilus piceus|11
08-03|Geen etiket|Hydrophilus aterrimus|5
08-03|Geen etiket|Berosus signaticollis|5
08-03|Geen etiket|Berosus luridus|2
08-03|Geen etiket|Berosus spinosus|26
08-03|Geen etiket|Berosus bispina|1
08-03|Geen etiket|Teretrius fabricii|1
08-03|Geen etiket|Teretrius rothi|1
08-03|Geen etiket|Teretrius parasitica|1
08-03|Geen etiket|Plegaderus saucius|2
08-03|Geen etiket|Plegaderus vulneratus|9
08-03|Geen etiket|Plegaderus caesus|4
08-03|Geen etiket|Plegaderus dissectus|2
08-03|Geen etiket|Plegaderus discisus|3
08-03|Geen etiket|Plegaderus otti|2
08-03|Geen etiket|Plegaderus sanatus|1
08-03|Geen etiket|Plegaderus adonis|1
08-03|Geen etiket|Chetabraeus globulus|1
08-03|Geen etiket|Chetabraeus lucidus|1
08-03|Geen etiket|Abraeus granulum|3
08-03|Geen etiket|Abraeus parvulus|3
08-03|Geen etiket|Abraeus perpusillus|4
08-03|Geen etiket|Aebraeomorphus minutissimus|1
